TransactionID,Amount,Date,Description,PaymentMethod,MerchantName,MerchantCategoryCode,Status,Recurrence,AccountHolderAge,AccountHolderGender,Category
43,14533.78,2024-12-15,Merchant_51 Utilities,Auto-Debit,Merchant_51,8011,Pending,Recurring,27,Female,Utilities
44,13821.02,2024-10-22,Merchant_35 Entertainment,Debit Card,Merchant_35,6513,Pending,Recurring,26,Male,Entertainment
45,9625.16,2025-09-29,Merchant_95 Insurance,UPI,Merchant_95,4121,Posted,Regular,70,Female,Insurance
46,2426.86,2025-08-16,Merchant_82 Travel,NEFT,Merchant_82,7841,Pending,Recurring,61,Female,Travel
47,17056.46,2025-09-29,Merchant_89 Utilities,Auto-Debit,Merchant_89,8299,Pending,Recurring,45,Female,Utilities
48,1481.11,2025-06-27,Merchant_36 Utilities,NEFT,Merchant_36,7997,Posted,Recurring,23,Female,Utilities
49,12768.57,2024-11-25,Merchant_21 Subscription,UPI,Merchant_21,8011,Pending,Recurring,51,Female,Subscription
50,14937.52,2025-02-28,Merchant_5 Fuel,Auto-Debit,Merchant_5,4784,Posted,One-time,43,Female,Fuel
51,11728.57,2024-11-21,Merchant_93 Entertainment,Credit Card,Merchant_93,4814,Posted,Regular,51,Male,Entertainment
52,2550.34,2025-03-31,Merchant_52 Travel,Debit Card,Merchant_52,5812,Pending,Recurring,34,Male,Travel
53,1581.13,2025-03-31,Merchant_32 Groceries,UPI,Merchant_32,4121,Posted,Regular,67,Male,Groceries
54,15874.09,2025-03-28,Merchant_22 Insurance,Auto-Debit,Merchant_22,5732,Posted,Recurring,62,Female,Insurance
55,3859.55,2025-08-29,Merchant_71 Education,Credit Card,Merchant_71,5541,Posted,Recurring,30,Female,Education
56,16887.06,2025-06-07,Merchant_1 Utilities,UPI,Merchant_1,6513,Posted,One-time,67,Female,Utilities
57,14717.84,2025-09-13,Merchant_68 Groceries,Auto-Debit,Merchant_68,6311,Pending,One-time,22,Male,Groceries
58,11570.47,2025-01-15,Merchant_34 Entertainment,UPI,Merchant_34,7997,Posted,Regular,54,Male,Entertainment
59,7337.72,2024-12-24,Merchant_22 Insurance,Credit Card,Merchant_22,7832,Posted,Recurring,44,Female,Insurance
60,17271.04,2024-11-13,Merchant_86 Gifts,Auto-Debit,Merchant_86,4814,Posted,One-time,26,Male,Gifts
61,13030.21,2025-08-28,Merchant_45 Rent,Auto-Debit,Merchant_45,8011,Posted,Recurring,50,Male,Rent
62,4190.49,2025-04-13,Merchant_31 Dining,NEFT,Merchant_31,5541,Pending,Regular,61,Male,Dining
63,18774.2,2025-03-25,Merchant_55 Shopping,Credit Card,Merchant_55,4784,Posted,One-time,39,Male,Shopping
64,5972.94,2025-02-28,Merchant_37 Shopping,Auto-Debit,Merchant_37,7832,Pending,Regular,25,Female,Shopping
65,2514.99,2025-07-27,Merchant_1 Medical,UPI,Merchant_1,5411,Pending,One-time,66,Female,Medical
66,894.23,2025-01-21,Merchant_15 Fuel,Credit Card,Merchant_15,5947,Pending,Recurring,19,Male,Fuel
67,7208.74,2025-08-22,Merchant_35 Travel,Auto-Debit,Merchant_35,6311,Posted,Regular,39,Female,Travel
68,11075.29,2025-09-13,Merchant_37 Subscription,Auto-Debit,Merchant_37,7841,Pending,One-time,44,Male,Subscription
69,17992.62,2024-12-13,Merchant_63 Subscription,Debit Card,Merchant_63,4121,Posted,One-time,69,Female,Subscription
70,684.88,2025-09-12,Merchant_56 Insurance,Credit Card,Merchant_56,5732,Posted,Regular,21,Female,Insurance
71,6559.18,2025-08-10,Merchant_35 Education,Auto-Debit,Merchant_35,5732,Posted,One-time,18,Male,Education
72,208.97,2025-09-18,Merchant_13 Groceries,Debit Card,Merchant_13,5732,Pending,Recurring,55,Male,Groceries
73,7183.1,2025-04-01,Merchant_85 Entertainment,Credit Card,Merchant_85,5732,Posted,Recurring,50,Male,Entertainment
74,7899.15,2025-09-09,Merchant_44 Medical,UPI,Merchant_44,7832,Pending,Regular,34,Male,Medical
75,19554.14,2025-06-24,Merchant_7 Travel,Debit Card,Merchant_7,6513,Posted,Regular,65,Female,Travel
76,19470.75,2025-09-11,Merchant_19 Insurance,NEFT,Merchant_19,5812,Posted,Regular,60,Male,Insurance
77,19722.41,2025-09-17,Merchant_66 Medical,NEFT,Merchant_66,4784,Pending,Recurring,23,Male,Medical
78,2842.64,2025-10-15,Merchant_52 Insurance,NEFT,Merchant_52,7832,Pending,Regular,75,Female,Insurance
79,961.73,2025-04-04,Merchant_44 Fuel,Credit Card,Merchant_44,5541,Posted,Regular,31,Male,Fuel
80,224.59,2024-10-22,Merchant_65 Shopping,Credit Card,Merchant_65,5947,Posted,Recurring,59,Male,Shopping
81,6165.15,2024-11-11,Merchant_35 Groceries,UPI,Merchant_35,8011,Posted,Regular,40,Female,Groceries
82,12056.17,2025-04-11,Merchant_17 Groceries,Debit Card,Merchant_17,5541,Pending,One-time,62,Male,Groceries
83,16960.52,2025-03-25,Merchant_35 Gifts,UPI,Merchant_35,5947,Posted,One-time,44,Female,Gifts
84,10679.45,2025-04-24,Merchant_74 Fuel,NEFT,Merchant_74,6513,Posted,One-time,50,Male,Fuel
85,6150.92,2025-07-22,Merchant_20 Rent,UPI,Merchant_20,5541,Posted,Recurring,37,Female,Rent
86,7750.22,2025-04-15,Merchant_27 Groceries,Credit Card,Merchant_27,7832,Pending,Recurring,47,Female,Groceries
87,10316.99,2025-10-08,Merchant_86 Groceries,Credit Card,Merchant_86,4784,Pending,One-time,56,Male,Groceries
88,2847.82,2024-12-17,Merchant_64 Dining,Debit Card,Merchant_64,5812,Pending,One-time,34,Male,Dining
89,17463.29,2025-06-21,Merchant_17 Subscription,Debit Card,Merchant_17,6513,Posted,One-time,52,Female,Subscription
90,19344.5,2025-04-24,Merchant_55 Groceries,Auto-Debit,Merchant_55,6513,Pending,One-time,32,Male,Groceries
91,1405.28,2025-02-22,Merchant_11 Gifts,UPI,Merchant_11,5732,Posted,Recurring,22,Female,Gifts
92,11987.6,2025-04-02,Merchant_65 Shopping,Debit Card,Merchant_65,5411,Posted,Regular,36,Female,Shopping
93,4646.53,2025-01-05,Merchant_14 Rent,UPI,Merchant_14,5947,Pending,Regular,40,Male,Rent
94,18568.55,2025-09-29,Merchant_51 Transport,Debit Card,Merchant_51,6513,Pending,Recurring,30,Male,Transport
95,12411.49,2024-10-19,Merchant_37 Education,Debit Card,Merchant_37,8299,Posted,Regular,50,Male,Education
96,15789.91,2025-05-17,Merchant_9 Dining,Auto-Debit,Merchant_9,7841,Posted,One-time,42,Female,Dining
97,9122.8,2025-09-24,Merchant_54 Gifts,UPI,Merchant_54,5541,Posted,One-time,37,Male,Gifts
98,3468.17,2025-06-23,Merchant_59 Travel,Credit Card,Merchant_59,5947,Pending,Recurring,68,Female,Travel
99,2639.52,2025-03-25,Merchant_82 Rent,NEFT,Merchant_82,6513,Posted,Regular,54,Male,Rent
100,17688.86,2024-12-24,Merchant_24 Rent,Auto-Debit,Merchant_24,5541,Pending,Regular,33,Female,Rent
101,13640.17,2025-02-25,Merchant_100 Gifts,Credit Card,Merchant_100,7841,Pending,Regular,34,Female,Gifts
102,18549.91,2024-11-08,Merchant_15 Rent,Debit Card,Merchant_15,6311,Posted,One-time,43,Female,Rent
103,12789.16,2025-09-28,Merchant_28 Transport,Credit Card,Merchant_28,5947,Pending,Recurring,42,Male,Transport
104,8921.98,2025-04-07,Merchant_59 Health & Fitness,UPI,Merchant_59,5812,Posted,Regular,34,Male,Health & Fitness
105,8644,2025-02-09,Merchant_85 Shopping,Debit Card,Merchant_85,5411,Posted,Recurring,19,Male,Shopping
106,11485.61,2025-05-17,Merchant_90 Travel,Debit Card,Merchant_90,6513,Posted,One-time,20,Female,Travel
107,7056.28,2024-12-13,Merchant_12 Shopping,Debit Card,Merchant_12,5947,Pending,Regular,36,Female,Shopping
108,8549.53,2024-11-15,Merchant_57 Travel,Auto-Debit,Merchant_57,8299,Pending,Regular,60,Male,Travel
109,16869.87,2025-05-22,Merchant_66 Entertainment,UPI,Merchant_66,4121,Pending,Regular,29,Female,Entertainment
110,2819.55,2025-05-02,Merchant_3 Education,Auto-Debit,Merchant_3,5812,Posted,Regular,65,Female,Education
111,7292.37,2025-07-03,Merchant_85 Education,Auto-Debit,Merchant_85,7841,Pending,One-time,27,Female,Education
112,6639.21,2025-07-24,Merchant_92 Insurance,UPI,Merchant_92,5411,Posted,Regular,53,Female,Insurance
113,9384.28,2025-01-14,Merchant_31 Utilities,Auto-Debit,Merchant_31,7832,Posted,Regular,57,Male,Utilities
114,4305.91,2024-11-23,Merchant_12 Rent,NEFT,Merchant_12,8299,Posted,One-time,26,Female,Rent
115,11613.53,2025-04-09,Merchant_42 Rent,Credit Card,Merchant_42,8011,Pending,Regular,53,Male,Rent
116,14090.05,2025-03-08,Merchant_3 Health & Fitness,NEFT,Merchant_3,4121,Posted,Regular,73,Female,Health & Fitness
117,12104.7,2025-02-12,Merchant_65 Subscription,Auto-Debit,Merchant_65,5947,Pending,One-time,72,Male,Subscription
118,18614.26,2025-09-27,Merchant_3 Utilities,NEFT,Merchant_3,8299,Pending,Regular,21,Male,Utilities
119,13716.93,2025-05-15,Merchant_71 Subscription,UPI,Merchant_71,5541,Posted,One-time,57,Male,Subscription
120,4830.73,2025-03-19,Merchant_79 Dining,Auto-Debit,Merchant_79,5947,Pending,Recurring,33,Female,Dining
121,8586.08,2024-11-28,Merchant_64 Health & Fitness,Auto-Debit,Merchant_64,4121,Posted,Recurring,68,Female,Health & Fitness
122,17906.03,2024-11-06,Merchant_8 Health & Fitness,Auto-Debit,Merchant_8,5732,Pending,One-time,63,Male,Health & Fitness
123,16355.42,2025-06-03,Merchant_89 Health & Fitness,UPI,Merchant_89,5947,Posted,One-time,47,Male,Health & Fitness
124,12921.9,2025-07-30,Merchant_90 Travel,Auto-Debit,Merchant_90,4121,Posted,Regular,36,Female,Travel
125,2115.32,2025-03-15,Merchant_38 Shopping,UPI,Merchant_38,8011,Posted,Regular,70,Female,Shopping
126,16644.85,2025-07-19,Merchant_7 Health & Fitness,NEFT,Merchant_7,6311,Posted,Regular,75,Male,Health & Fitness
127,19764.83,2025-05-25,Merchant_17 Transport,Debit Card,Merchant_17,5541,Pending,One-time,21,Male,Transport
128,6079.52,2025-03-07,Merchant_94 Travel,UPI,Merchant_94,4784,Pending,One-time,61,Male,Travel
129,6058.17,2025-01-29,Merchant_58 Utilities,UPI,Merchant_58,7997,Pending,One-time,63,Female,Utilities
130,10318.43,2025-05-26,Merchant_99 Health & Fitness,NEFT,Merchant_99,7841,Posted,Recurring,30,Male,Health & Fitness
131,1768.88,2025-05-26,Merchant_42 Rent,Auto-Debit,Merchant_42,8299,Posted,Recurring,48,Male,Rent
132,9510.25,2025-06-01,Merchant_71 Travel,NEFT,Merchant_71,6513,Pending,Regular,42,Female,Travel
133,4344.13,2025-02-17,Merchant_12 Health & Fitness,NEFT,Merchant_12,5732,Pending,One-time,48,Male,Health & Fitness
134,3892.07,2025-10-06,Merchant_30 Insurance,UPI,Merchant_30,5411,Pending,One-time,71,Male,Insurance
135,5710.53,2025-07-14,Merchant_14 Insurance,UPI,Merchant_14,6513,Posted,One-time,63,Female,Insurance
136,6641.53,2025-08-20,Merchant_58 Fuel,UPI,Merchant_58,7832,Pending,Regular,71,Male,Fuel
137,5394.45,2025-05-11,Merchant_14 Insurance,NEFT,Merchant_14,7832,Pending,Regular,53,Female,Insurance
138,9145.01,2025-05-22,Merchant_61 Insurance,NEFT,Merchant_61,5541,Posted,One-time,18,Female,Insurance
139,11372.49,2025-03-25,Merchant_6 Travel,Auto-Debit,Merchant_6,6311,Posted,Regular,33,Female,Travel
140,16187.43,2025-04-07,Merchant_29 Subscription,Auto-Debit,Merchant_29,5411,Pending,Regular,39,Female,Subscription
141,11035.36,2025-07-01,Merchant_91 Entertainment,Debit Card,Merchant_91,6311,Pending,Recurring,50,Male,Entertainment
142,7014.45,2024-11-03,Merchant_92 Fuel,Credit Card,Merchant_92,6311,Posted,Regular,64,Female,Fuel
143,11331.85,2025-08-08,Merchant_36 Entertainment,Debit Card,Merchant_36,8011,Posted,Recurring,71,Female,Entertainment
144,19520.4,2025-01-01,Merchant_99 Utilities,UPI,Merchant_99,5947,Posted,Recurring,52,Male,Utilities
145,19321.3,2025-10-02,Merchant_2 Fuel,Auto-Debit,Merchant_2,8299,Posted,One-time,69,Male,Fuel
146,17620.61,2025-10-18,Merchant_9 Groceries,Credit Card,Merchant_9,4121,Pending,Recurring,28,Female,Groceries
147,7231.52,2024-11-23,Merchant_5 Dining,Auto-Debit,Merchant_5,7997,Pending,Regular,22,Male,Dining
148,16172.67,2025-07-02,Merchant_28 Fuel,UPI,Merchant_28,5541,Posted,Regular,73,Female,Fuel
149,18136.52,2025-09-27,Merchant_6 Education,UPI,Merchant_6,7841,Pending,One-time,67,Female,Education
150,3081.19,2025-04-18,Merchant_2 Insurance,Auto-Debit,Merchant_2,5947,Pending,Recurring,55,Female,Insurance
151,3368.09,2025-04-12,Merchant_12 Shopping,UPI,Merchant_12,5411,Posted,Regular,61,Female,Shopping
152,5307.73,2025-08-24,Merchant_4 Travel,NEFT,Merchant_4,7997,Posted,Recurring,33,Male,Travel
153,17928.04,2025-09-28,Merchant_44 Rent,NEFT,Merchant_44,5812,Posted,One-time,38,Female,Rent
154,11381.26,2024-12-18,Merchant_73 Gifts,Auto-Debit,Merchant_73,4814,Pending,One-time,37,Female,Gifts
155,1211.3,2025-06-18,Merchant_84 Insurance,Credit Card,Merchant_84,5812,Posted,Regular,75,Female,Insurance
156,12920.88,2025-09-04,Merchant_70 Insurance,Credit Card,Merchant_70,5541,Pending,One-time,51,Male,Insurance
157,14407.32,2025-04-09,Merchant_87 Utilities,Credit Card,Merchant_87,5947,Posted,One-time,54,Female,Utilities
158,1674.23,2025-10-18,Merchant_79 Travel,Auto-Debit,Merchant_79,7832,Posted,One-time,62,Male,Travel
159,13851.78,2025-07-16,Merchant_56 Rent,UPI,Merchant_56,4784,Pending,Recurring,61,Female,Rent
160,9930.89,2025-02-12,Merchant_47 Entertainment,Credit Card,Merchant_47,7841,Posted,Regular,19,Male,Entertainment
161,19919.69,2025-01-21,Merchant_80 Medical,Auto-Debit,Merchant_80,7997,Posted,One-time,31,Male,Medical
162,5344.61,2025-08-09,Merchant_18 Travel,NEFT,Merchant_18,8299,Posted,One-time,70,Male,Travel
163,15961.1,2025-08-04,Merchant_12 Dining,Credit Card,Merchant_12,4121,Posted,Regular,23,Female,Dining
164,8259.33,2025-06-12,Merchant_38 Insurance,Credit Card,Merchant_38,4121,Posted,Recurring,72,Male,Insurance
165,11641.93,2025-05-26,Merchant_97 Dining,Auto-Debit,Merchant_97,8011,Posted,Regular,33,Male,Dining
166,16077.39,2025-05-19,Merchant_33 Travel,UPI,Merchant_33,5411,Posted,One-time,61,Male,Travel
167,17874.91,2025-09-18,Merchant_25 Utilities,NEFT,Merchant_25,7997,Posted,Recurring,75,Male,Utilities
168,7128.68,2025-10-05,Merchant_65 Medical,Credit Card,Merchant_65,7832,Posted,Recurring,21,Male,Medical
169,19034.96,2025-06-23,Merchant_55 Shopping,Auto-Debit,Merchant_55,5947,Pending,One-time,57,Female,Shopping
170,4119.19,2025-03-10,Merchant_65 Utilities,Auto-Debit,Merchant_65,8011,Posted,Regular,18,Female,Utilities
171,6684.97,2025-07-25,Merchant_48 Shopping,Debit Card,Merchant_48,7832,Posted,One-time,57,Male,Shopping
172,4169.02,2025-06-02,Merchant_35 Transport,Auto-Debit,Merchant_35,4814,Posted,One-time,34,Female,Transport
173,9230.78,2025-08-23,Merchant_48 Education,Debit Card,Merchant_48,7832,Pending,Regular,43,Male,Education
174,14118.48,2025-05-07,Merchant_10 Medical,Debit Card,Merchant_10,8011,Pending,One-time,20,Female,Medical
175,14621.18,2025-03-21,Merchant_10 Health & Fitness,UPI,Merchant_10,5812,Pending,Regular,34,Male,Health & Fitness
176,18973.37,2025-06-29,Merchant_66 Transport,UPI,Merchant_66,6513,Pending,Recurring,71,Male,Transport
177,3619.69,2025-07-19,Merchant_35 Health & Fitness,NEFT,Merchant_35,7997,Pending,Regular,22,Female,Health & Fitness
178,254.37,2025-06-18,Merchant_60 Dining,Credit Card,Merchant_60,4784,Posted,One-time,20,Male,Dining
179,11360.38,2025-04-22,Merchant_19 Fuel,Credit Card,Merchant_19,5732,Posted,Recurring,53,Male,Fuel
180,5189.61,2025-08-05,Merchant_59 Transport,Auto-Debit,Merchant_59,6311,Pending,Recurring,47,Female,Transport
181,15393.57,2025-01-27,Merchant_42 Medical,Debit Card,Merchant_42,8011,Pending,Regular,68,Male,Medical
182,5084.5,2024-12-05,Merchant_91 Travel,Debit Card,Merchant_91,5732,Pending,One-time,49,Female,Travel
183,14788.52,2025-03-14,Merchant_11 Travel,Auto-Debit,Merchant_11,4814,Pending,One-time,55,Female,Travel
184,1914.52,2025-02-06,Merchant_93 Health & Fitness,NEFT,Merchant_93,4121,Posted,One-time,71,Male,Health & Fitness
185,5284.55,2025-08-30,Merchant_50 Groceries,Debit Card,Merchant_50,7997,Posted,One-time,49,Male,Groceries
186,18075.05,2025-01-22,Merchant_19 Travel,Auto-Debit,Merchant_19,5541,Pending,One-time,47,Female,Travel
187,8348.46,2025-10-17,Merchant_2 Medical,Debit Card,Merchant_2,5732,Pending,One-time,73,Female,Medical
188,7517.55,2025-07-03,Merchant_92 Gifts,UPI,Merchant_92,6311,Pending,One-time,60,Male,Gifts
189,12693.41,2024-12-24,Merchant_6 Insurance,Auto-Debit,Merchant_6,5732,Pending,Recurring,46,Male,Insurance
190,17655.92,2025-08-25,Merchant_31 Groceries,Credit Card,Merchant_31,4121,Pending,Regular,51,Male,Groceries
191,8748.99,2025-09-05,Merchant_71 Health & Fitness,Auto-Debit,Merchant_71,6513,Posted,Recurring,45,Female,Health & Fitness
192,7984.82,2025-09-19,Merchant_24 Gifts,Auto-Debit,Merchant_24,7841,Posted,Recurring,56,Female,Gifts
193,4731.94,2025-09-29,Merchant_39 Insurance,Credit Card,Merchant_39,4814,Posted,One-time,58,Male,Insurance
194,4197.6,2025-10-03,Merchant_2 Transport,Debit Card,Merchant_2,8299,Posted,Regular,48,Male,Transport
195,2156.32,2025-10-05,Merchant_55 Education,NEFT,Merchant_55,4784,Posted,One-time,19,Male,Education
196,11643.32,2025-09-24,Merchant_32 Utilities,NEFT,Merchant_32,8299,Pending,Regular,54,Male,Utilities
197,2403.91,2025-08-21,Merchant_65 Insurance,NEFT,Merchant_65,8011,Posted,Recurring,40,Male,Insurance
198,8754.6,2024-11-07,Merchant_94 Health & Fitness,NEFT,Merchant_94,8011,Posted,Recurring,42,Male,Health & Fitness
199,1631.17,2025-03-23,Merchant_19 Insurance,NEFT,Merchant_19,6311,Pending,Recurring,57,Male,Insurance
200,11974.81,2025-02-19,Merchant_66 Travel,Auto-Debit,Merchant_66,6311,Posted,Recurring,56,Male,Travel
201,2878.11,2025-01-11,Merchant_55 Medical,Debit Card,Merchant_55,5732,Pending,One-time,54,Female,Medical
202,12971.69,2024-11-10,Merchant_22 Shopping,Debit Card,Merchant_22,7997,Pending,Regular,59,Male,Shopping
203,6491.14,2025-02-23,Merchant_8 Travel,Credit Card,Merchant_8,5541,Posted,Regular,36,Female,Travel
204,17183.27,2025-01-29,Merchant_8 Subscription,Credit Card,Merchant_8,4814,Posted,One-time,39,Male,Subscription
205,8345.45,2025-05-02,Merchant_66 Fuel,Credit Card,Merchant_66,5947,Pending,One-time,75,Male,Fuel
206,13505,2025-01-02,Merchant_24 Gifts,Credit Card,Merchant_24,5732,Posted,Regular,33,Male,Gifts
207,16300.64,2025-06-22,Merchant_65 Transport,Auto-Debit,Merchant_65,5732,Pending,One-time,24,Male,Transport
208,17249.54,2025-04-18,Merchant_48 Subscription,UPI,Merchant_48,8011,Posted,Regular,54,Male,Subscription
209,19510.84,2025-10-05,Merchant_28 Transport,NEFT,Merchant_28,7997,Pending,One-time,22,Male,Transport
210,16518.29,2024-11-14,Merchant_82 Health & Fitness,Credit Card,Merchant_82,5947,Pending,One-time,66,Female,Health & Fitness
211,6851.69,2025-09-01,Merchant_53 Dining,NEFT,Merchant_53,7841,Pending,Regular,66,Male,Dining
212,17187.53,2025-02-08,Merchant_60 Dining,NEFT,Merchant_60,5411,Pending,One-time,36,Female,Dining
213,5151.81,2025-08-31,Merchant_45 Travel,Auto-Debit,Merchant_45,7841,Pending,Recurring,62,Male,Travel
214,7201.76,2025-07-09,Merchant_1 Groceries,NEFT,Merchant_1,6311,Pending,One-time,33,Male,Groceries
215,11019.62,2024-10-25,Merchant_8 Entertainment,UPI,Merchant_8,7832,Posted,Regular,66,Male,Entertainment
216,6531.43,2025-06-18,Merchant_44 Health & Fitness,UPI,Merchant_44,5541,Pending,Regular,29,Female,Health & Fitness
217,10343.14,2025-06-05,Merchant_2 Health & Fitness,Credit Card,Merchant_2,8011,Pending,Regular,31,Male,Health & Fitness
218,1460.91,2025-08-09,Merchant_62 Entertainment,Credit Card,Merchant_62,4121,Posted,Regular,23,Male,Entertainment
219,6323.29,2025-06-21,Merchant_65 Gifts,Credit Card,Merchant_65,6513,Posted,Recurring,45,Female,Gifts
220,1402.12,2025-09-16,Merchant_2 Rent,UPI,Merchant_2,5812,Pending,Regular,48,Male,Rent
221,14217.23,2024-11-09,Merchant_9 Shopping,Credit Card,Merchant_9,5947,Posted,One-time,40,Male,Shopping
222,12159.43,2025-04-04,Merchant_36 Travel,Auto-Debit,Merchant_36,4121,Pending,Regular,59,Female,Travel
223,7903.83,2025-08-06,Merchant_99 Rent,Auto-Debit,Merchant_99,8011,Pending,Recurring,27,Male,Rent
224,8667.64,2025-10-03,Merchant_42 Groceries,Debit Card,Merchant_42,5947,Posted,One-time,37,Male,Groceries
225,17309.83,2025-02-13,Merchant_79 Gifts,Auto-Debit,Merchant_79,8299,Posted,One-time,23,Male,Gifts
226,7784.17,2024-11-20,Merchant_31 Entertainment,NEFT,Merchant_31,8299,Posted,Regular,43,Female,Entertainment
227,879.02,2025-03-31,Merchant_58 Shopping,NEFT,Merchant_58,4814,Pending,Recurring,38,Male,Shopping
228,10103.2,2025-01-29,Merchant_86 Dining,NEFT,Merchant_86,6311,Pending,Regular,28,Female,Dining
229,13674.55,2024-11-27,Merchant_80 Education,Auto-Debit,Merchant_80,6311,Posted,Regular,21,Male,Education
230,785.05,2025-06-08,Merchant_11 Subscription,Debit Card,Merchant_11,8011,Pending,Recurring,56,Male,Subscription
231,9200.66,2025-04-12,Merchant_14 Education,NEFT,Merchant_14,7997,Pending,Regular,45,Female,Education
